deltap,deltapcp,name,year,geoid,HPI,geo,ua,popu,data_id,area,popdse,logpop,logpopdse
0.078261619,0.050038858,37179_2014,2014,37179,1.1435,0.323113379,2.644278253,218.337,94,246.9662045,0.884076428,5.386039741,-0.123211763
0.055185655,0.051619725,37159_2014,2014,37159,1.0646,0.282028033,1.458649678,138.648,95,202.2749123,0.685443382,4.931938347,-0.377689377
0.035370256,0.040478892,42129_2014,2014,42129,1.2695,0.091702774,2.189442812,359.353,96,400.1791513,0.897980314,5.884305192,-0.107607133
0.045529251,0.045573654,42125_2014,2014,42125,1.3742,0.095186197,2.365944306,208.175,97,332.433716,0.626215062,5.338379072,-0.468061418
0.067723706,0.042425401,45091_2014,2014,45091,1.1832,0.353434374,2.714906272,245.124,98,268.6381028,0.912469219,5.501764205,-0.091600926
0.045718673,0.038022981,39103_2014,2014,39103,1.0183,0.109597629,2.766516374,175.963,99,163.3712871,1.07707421,5.170273746,0.0742483
0.076016526,0.041171745,45057_2014,2014,45057,1.1515,0.349084781,2.298236548,83.12,100,214.4100942,0.387668315,4.420285347,-0.947605163
0.051785217,0.043456278,17019_2014,2014,17019,1.2726,0.034860019,2.972555101,207.424,101,385.1597883,0.538540124,5.334765008,-0.618893275
0.064372615,0.058986227,37109_2014,2014,37109,1.2079,0.27498986,2.192830554,79.88,102,118.5564423,0.673771905,4.380525509,-0.394863645
0.064338866,0.04338092,32003_2014,2014,32003,1.204,0.006527766,3.173991736,2069.146,103,3123.969591,0.662345116,7.634891241,-0.411968536
0.045456971,0.044662796,39153_2014,2014,39153,0.9657,0.141631106,2.78645096,542.6,104,162.2013985,3.345223932,6.2963724,1.207533637
0.061053373,0.041678329,4013_2014,2014,4013,1.4497,0.007668776,2.509895582,4090.022,105,3561.73576,1.148322693,8.316305628,0.13830235
0.055628929,0.03472251,37119_2014,2014,37119,1.2489,0.355247692,3.263530161,1011.928,106,212.2556458,4.767496272,6.919612701,1.561821277
0.036899195,0.037673694,42003_2014,2014,42003,1.396,0.109252753,3.24669739,1232.896,107,287.5416507,4.287712743,7.117121152,1.455753431
0.035581204,0.031040528,39093_2014,2014,39093,0.9058,0.093339976,2.794103296,304.187,108,356.4067815,0.853482638,5.717642644,-0.158430079
0.02740612,0.028093213,36019_2014,2014,36019,1.4994,0.018615016,1.252762968,81.702,109,431.5383457,0.189327324,4.403078481,-1.664277891
0.061705918,0.05411284,42029_2014,2014,42029,1.51,0.037940345,1.860962606,513.291,110,293.3833721,1.74955723,6.240842936,0.559362745
0.036256704,0.032153826,39133_2014,2014,39133,0.9923,0.137707504,2.600595667,162.235,111,195.8077058,0.828542469,5.089045901,-0.188087184
0.046700084,0.033317964,55025_2014,2014,55025,1.3649,0.022313236,3.246239244,516.929,112,478.1601473,1.081079222,6.247905534,0.077959822
0.046323432,0.048965225,39035_2014,2014,39035,0.9234,0.117097622,3.228912821,1260.61,113,480.9362198,2.621158374,7.13935101,0.963616348
0.036236743,0.028423399,37071_2014,2014,37071,1.0832,0.287051671,2.683981497,211.04,114,140.4831679,1.502244028,5.352047689,0.406960009
0.047500786,0.045675362,39055_2014,2014,39055,1.0117,0.117448849,2.422404899,94.099,115,157.8036981,0.59630415,4.54434742,-0.517004424
0.04337195,0.046236637,42007_2015,2015,42007,1.316,0.106446664,1.826943559,168.871,116,171.4060672,0.985210166,5.12913511,-0.014900294
-0.020676425,-0.018653654,17041_2015,2015,17041,1.2532,0.034228919,0.905797192,19.823,117,161.1743675,0.122991021,2.98684288,-2.095643927
0.059306553,0.033064637,4021_2015,2015,4021,1.2427,0.007684832,1.648665995,406.584,118,2075.100676,0.19593459,6.00779055,-1.6299744
-0.026459659,-0.022913049,17147_2015,2015,17147,1.2655,0.034034042,1.162465145,16.387,119,170.0199615,0.0963828,2.796488338,-2.339427513
0.054035244,0.042043721,37021_2015,2015,37021,1.6188,0.085278053,1.790330776,253.178,120,254.8465438,0.993452751,5.534092799,-0.006568776
0.070906256,0.044614858,37025_2015,2015,37025,1.1393,0.316470686,2.750945337,196.762,121,140.9349071,1.396119699,5.281994877,0.333696745
0.033202995,0.0330957,39085_2015,2015,39085,0.9852,0.103636245,2.701532488,229.245,122,378.0014595,0.606465912,5.434791301,-0.500106756
0.063612932,0.042592814,37179_2015,2015,37179,1.207,0.323113379,2.526719509,222.742,123,246.9662045,0.901912877,5.406014151,-0.103237352
0.05027636,0.046556977,37159_2015,2015,37159,1.1017,0.282028033,1.527489617,139.142,124,202.2749123,0.687885603,4.935494994,-0.37413273
0.036743373,0.040795887,42129_2015,2015,42129,1.2954,0.091702774,2.289490603,357.956,125,400.1791513,0.894489378,5.880410074,-0.111502251
0.078749866,0.078312649,42125_2015,2015,42125,1.3985,0.095186197,2.346306402,208.261,126,332.433716,0.62647376,5.338792101,-0.467648389
0.067596948,0.041772517,45091_2015,2015,45091,1.226,0.353434374,2.538900049,251.195,127,268.6381028,0.935068396,5.52622953,-0.067135601
0.045748812,0.043174333,39103_2015,2015,39103,1.0491,0.109597629,2.889791575,176.395,128,163.3712871,1.079718493,5.172725798,0.076700353
0.082656719,0.048334206,45057_2015,2015,45057,1.2114,0.349084781,2.464027563,85.842,129,214.4100942,0.400363613,4.452508397,-0.915382112
0.030508774,0.023427658,17019_2015,2015,17019,1.2996,0.034860019,2.998216806,208.861,130,385.1597883,0.542271043,5.341668959,-0.611989324
0.048315789,0.033367091,37109_2015,2015,37109,1.2494,0.27498986,2.540204142,81.035,131,118.5564423,0.6835141,4.39488116,-0.380507993
0.048854964,0.026228763,32003_2015,2015,32003,1.2975,0.006527766,3.159750078,2114.801,132,3123.969591,0.676959535,7.656715997,-0.39014378
0.03546913,0.036677843,39153_2015,2015,39153,0.9949,0.141631106,2.768492952,541.968,133,162.2013985,3.341327542,6.295206959,1.206368196
0.047767821,0.028163854,4013_2015,2015,4013,1.529,0.007668776,3.00655845,4167.947,134,3561.73576,1.170201071,8.335178867,0.157175589
0.06847242,0.045612276,37119_2015,2015,37119,1.3225,0.355247692,3.255785422,1034.07,135,212.2556458,4.871813874,6.941257751,1.583466327
0.038635243,0.040692641,42003_2015,2015,42003,1.4441,0.109252753,3.182004258,1230.459,136,287.5416507,4.279237449,7.115142549,1.453774828
0.03773219,0.034481896,39093_2015,2015,39093,0.947,0.093339976,2.740364104,305.147,137,356.4067815,0.856176189,5.720793628,-0.155279095
0.04776632,0.053577972,36019_2015,2015,36019,1.5117,0.018615016,1.541976433,81.251,138,431.5383457,0.188282225,4.397543129,-1.669813244
0.034278492,0.028971767,42029_2015,2015,42029,1.5482,0.037940345,2.022577121,515.939,139,293.3833721,1.758582963,6.245988541,0.56450835
0.034742226,0.034489896,39133_2015,2015,39133,1.0382,0.137707504,1.560386563,162.275,140,195.8077058,0.828746751,5.089292427,-0.187840658
0.055446077,0.041905131,55025_2015,2015,55025,1.404,0.022313236,3.241921339,523.643,141,478.1601473,1.095120543,6.260810154,0.090864442
0.026305655,0.030135706,39035_2015,2015,39035,0.9518,0.117097622,1.583669783,1255.921,142,480.9362198,2.611408641,7.135624447,0.959889785
0.051764268,0.039936956,37071_2015,2015,37071,1.1105,0.287051671,2.750894257,213.442,143,140.4831679,1.519342162,5.363365133,0.418277453
0.032242213,0.032217341,39055_2015,2015,39055,1.0539,0.117448849,2.431121513,94.102,144,157.8036981,0.596323161,4.5443793,-0.516972543
