GeoFIPS,GeoName,income2010,income2011,income2012,income2013,income2014,income2015,incomePer2010,incomePer2011,incomePer2012,incomePer2013,incomePer2014,incomePer2015,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015
47097,"Lauderdale, TN",632198,675138,709852,722362,703619,716946,22798,24391,25664,26243,25741,26617,27731,27680,27659,27526,27335,26936
47099,"Lawrence, TN",1137127,1188668,1247754,1271388,1289574,1358595,27071,28253,29600,30259,30470,31919,42005,42073,42154,42017,42323,42564
47101,"Lewis, TN",290697,298543,306615,316477,333427,348016,23924,24598,25755,26477,28085,29359,12151,12137,11905,11953,11872,11854
47103,"Lincoln, TN",1055159,1129209,1159297,1191407,1217412,1257894,31573,33794,34670,35492,36244,37279,33420,33414,33438,33568,33589,33743
47105,"Loudon, TN",1782069,1935514,2010233,2020079,2094802,2197125,36554,39429,40388,40056,41300,42971,48752,49088,49773,50431,50722,51130
47107,"McMinn, TN",1486118,1549986,1617633,1634602,1679908,1738158,28478,29604,30843,31194,31886,33020,52185,52358,52447,52401,52684,52639
47109,"McNairy, TN",688092,708531,734733,725045,737766,758659,26410,27209,28080,27788,28214,29105,26054,26040,26166,26092,26149,26066
47111,"Macon, TN",573224,611488,653809,645649,671774,714884,25754,27218,29047,28514,29192,30845,22258,22466,22509,22643,23012,23177
47113,"Madison, TN",3204204,3458111,3545567,3511043,3576348,3737284,32612,35283,35994,35570,36460,38288,98252,98010,98505,98707,98089,97610
47115,"Marion, TN",868318,892071,921214,920065,946763,979622,30754,31764,32629,32479,33341,34388,28234,28084,28233,28328,28396,28487
47117,"Marshall, TN",835213,869577,931110,961189,1005080,1057407,27218,28138,30094,30906,32110,33513,30686,30904,30940,31100,31301,31552
47119,"Maury, TN",2560304,2714886,2894940,3001660,3104481,3330080,31524,33333,35303,35888,36268,37947,81218,81448,82002,83640,85598,87757
47121,"Meigs, TN",290265,312400,328297,331025,351100,359461,24638,26776,28098,28348,29947,30386,11781,11667,11684,11677,11724,11830
47123,"Monroe, TN",1126660,1219236,1258611,1267161,1314691,1394634,25244,27135,27874,28019,28967,30470,44631,44932,45153,45225,45386,45771
47125,"Montgomery, TN",6539070,7144828,7258024,7183066,7316954,7623086,37757,40439,39167,38904,38552,39400,173189,176681,185311,184635,189795,193479
47127,"Moore, TN",191867,207583,217279,220920,234040,241369,30187,32344,34190,34928,36938,38179,6356,6418,6355,6325,6336,6322
47129,"Morgan, TN",528699,549135,558972,558343,561216,587527,24031,24891,25470,25719,25795,27329,22001,22062,21946,21709,21757,21498
47131,"Obion, TN",1014108,1096197,1043812,1099534,1089876,1093776,31872,34597,33289,35376,35289,35699,31818,31685,31356,31081,30884,30639
47133,"Overton, TN",564385,588964,608034,619288,635297,663033,25548,26557,27379,28144,28902,29962,22091,22177,22208,22004,21981,22129
47135,"Perry, TN",189394,197657,206834,211418,217693,228027,23883,25198,26382,26891,27756,28759,7930,7844,7840,7862,7843,7929
47137,"Pickett, TN",140751,147860,157331,157842,165283,177391,27751,28795,31013,31281,32510,34472,5072,5135,5073,5046,5084,5146
47139,"Polk, TN",451365,465639,491486,500049,511235,518911,26854,27834,29617,30073,30593,30937,16808,16729,16595,16628,16711,16773
