customer_id,gender,marital,education,job_status,income,age
10300997,M,MARRIED,COLLEGE,UNEMPLOYED,1200,41
10369947,M,MARRIED,COLLEGE,UNEMPLOYED,0,51
10424863,M,MARRIED,COLLEGE,UNEMPLOYED,15000,40
10445690,M,MARRIED,COLLEGE,UNEMPLOYED,0,47
10453600,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,1000,37
10531526,M,MARRIED,COLLEGE,UNEMPLOYED,1000,47
10623434,M,MARRIED,UNEDUCATED,UNEMPLOYED,0,38
10744826,M,MARRIED,COLLEGE,UNEMPLOYED,0,41
10758148,M,MARRIED,COLLEGE,UNEMPLOYED,5000,32
10847166,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,55
10911425,M,MARRIED,COLLEGE,UNEMPLOYED,15000,33
10948044,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2500,43
10968425,M,MARRIED,COLLEGE,UNEMPLOYED,0,35
11114942,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,43
11359410,F,MARRIED,COLLEGE,UNEMPLOYED,1500,45
11396235,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,37
11410947,F,MARRIED,HIGH SCHOOL,UNEMPLOYED,2500,31
11512199,M,MARRIED,UNEDUCATED,UNEMPLOYED,400,35
11535869,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,0,35
11591543,M,MARRIED,COLLEGE,UNEMPLOYED,0,48
11672278,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1500,40
11686180,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1500,44
11708402,M,MARRIED,UNEDUCATED,UNEMPLOYED,3500,37
11830289,M,MARRIED,COLLEGE,UNEMPLOYED,800,46
11952552,M,MARRIED,COLLEGE,UNEMPLOYED,2000,36
12057785,F,MARRIED,COLLEGE,UNEMPLOYED,2000,40
12142534,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,2000,32
12186828,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2000,34
12251700,F,MARRIED,COLLEGE,UNEMPLOYED,4000,31
12261708,M,MARRIED,COLLEGE,UNEMPLOYED,0,44
12348229,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2000,39
12360906,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,39
12459785,M,MARRIED,COLLEGE,UNEMPLOYED,0,51
12628447,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,34
12692964,M,MARRIED,COLLEGE,UNEMPLOYED,5000,38
12693837,F,MARRIED,COLLEGE,UNEMPLOYED,0,51
12937279,F,MARRIED,COLLEGE,UNEMPLOYED,4000,35
12980518,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2500,57
13011665,M,MARRIED,COLLEGE,UNEMPLOYED,0,47
