districtID,NAME,所属省,区县,经济,Area_km2,province,city,county,town2010,Popu,Popu_float,Area_COMP,Pop_Sum,Dens_Pob
151,马连洼街道,北京市,海淀区,371.8,5.08288000000,北京市,北京市,海淀区,马连洼街道,106585,52986,5.08288000000,159571,31393.80000000000
152,军庄镇,北京市,门头沟区,13.5,33.75140000000,北京市,北京市,门头沟区,军庄镇,12516,2039,33.75140000000,14555,431.24100000000
153,上地街道,北京市,海淀区,3718.7,3.17061000000,北京市,北京市,海淀区,万柳地区,28062,23247,3.17061000000,51309,16182.70000000000
154,奥运村地区（乡）,北京市,朝阳区,1511.13253498037,18.92150000000,北京市,北京市,朝阳区,奥运村街道,105263,36458,18.92150000000,141721,7489.95000000000
155,来广营地区（乡）,北京市,朝阳区,5023.67997023253,57.46850000000,北京市,北京市,朝阳区,来广营地区,123665,63526,57.46850000000,187191,3257.28000000000
156,西三旗街道,北京市,海淀区,576.5,10.29660000000,北京市,北京市,海淀区,东升地区,73524,37224,10.29660000000,110748,10755.80000000000
157,温泉镇,北京市,海淀区,322,32.99100000000,北京市,北京市,海淀区,温泉镇,50800,22486,32.99100000000,73286,2221.39000000000
158,清水镇,北京市,门头沟区,8.8,335.91000000000,北京市,北京市,门头沟区,清水镇,7906,546,335.91000000000,8452,25.16150000000
159,孙河地区（乡）,北京市,朝阳区,1040.56432074088,34.85090000000,北京市,北京市,朝阳区,孙河地区,23876,13580,34.85090000000,37456,1074.75000000000
160,李桥镇,北京市,顺义区,994,74.48920000000,北京市,北京市,顺义区,李桥镇,69830,30512,74.48920000000,100342,1347.07000000000
161,机场街道,北京市,朝阳区,4974.82316110384,10.65650000000,北京市,北京市,朝阳区,首都机场街道,20512,5679,10.65650000000,26191,2457.75000000000
162,马坊地区,北京市,平谷区,147.3,35.84240000000,北京市,北京市,平谷区,马坊地区,17949,2042,35.84240000000,19991,557.74700000000
163,东小口镇,北京市,昌平区,202.4,17.05700000000,北京市,北京市,昌平区,东小口地区,147360,80605,17.05700000000,227965,13364.90000000000
164,石园街道,北京市,顺义区,322,9.49265000000,北京市,北京市,顺义区,石园街道,48531,7169,9.49265000000,55700,5867.70000000000
165,回龙观镇,北京市,昌平区,1238.5,29.83320000000,北京市,北京市,昌平区,回龙观地区,306311,162896,29.83320000000,469207,15727.70000000000
166,苏家坨镇,北京市,海淀区,205.9,179.69300000000,北京市,北京市,海淀区,青龙桥街道,128887,65623,179.69300000000,194510,1082.46000000000
167,李遂镇,北京市,顺义区,350,40.90480000000,北京市,北京市,顺义区,李遂镇,20046,2971,40.90480000000,23017,562.69700000000
168,东高村镇,北京市,平谷区,41,55.09890000000,北京市,北京市,平谷区,东高村镇,27945,2100,55.09890000000,30045,545.29200000000
169,后沙峪镇,北京市,顺义区,784,54.26470000000,北京市,北京市,顺义区,空港街道,43814,18601,54.26470000000,62415,1150.20000000000
170,斋堂镇,北京市,门头沟区,27.7,377.30400000000,北京市,北京市,门头沟区,斋堂镇,10817,636,377.30400000000,11453,30.35480000000
171,仁和镇,北京市,顺义区,1162,30.95310000000,北京市,北京市,顺义区,仁和地区,49004,22120,30.95310000000,71124,2297.80000000000
